Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.3683798185941044,1_motif_1
1,motif_2,0.2865183531746031,1_motif_2
1,motif_3,0.2949806547619047,1_motif_3
2,motif_1,0.2889275793650793,2_motif_1
2,motif_2,0.26930319940476194,2_motif_2
2,motif_3,0.2854391121031745,2_motif_3
3,motif_1,0.3057232142857143,3_motif_1
3,motif_2,0.2894362874779541,3_motif_2
3,motif_3,0.28055826118326116,3_motif_3
4,motif_1,0.3045449735449736,4_motif_1
4,motif_2,0.2895769704433497,4_motif_2
4,motif_3,0.29713457556935813,4_motif_3
5,motif_1,0.2949297123015874,5_motif_1
5,motif_2,0.2977763038548752,5_motif_2
5,motif_3,0.30572613035113033,5_motif_3
6,motif_1,0.30302268217893213,6_motif_1
6,motif_2,0.29456667869167863,6_motif_2
6,motif_3,0.26864756944444446,6_motif_3
7,motif_1,0.2959187216553288,7_motif_1
7,motif_2,0.30666644204851745,7_motif_2
7,motif_3,0.3453150448585231,7_motif_3
8,motif_1,0.29478487723214286,8_motif_1
8,motif_2,0.3082341889880952,8_motif_2
8,motif_3,0.31003325249853025,8_motif_3
9,motif_1,0.30171445105820105,9_motif_1
9,motif_2,0.3003622271825397,9_motif_2
9,motif_3,0.2816507936507936,9_motif_3
10,motif_1,0.3034378472222222,10_motif_1
10,motif_2,0.2999734363894811,10_motif_2
10,motif_3,0.2708213222789116,10_motif_3
11,motif_1,0.3039229347041847,11_motif_1
11,motif_2,0.2732774317091177,11_motif_2
11,motif_3,0.3007081128747795,11_motif_3
12,motif_1,0.2957881944444445,12_motif_1
12,motif_2,0.306212447786132,12_motif_2
12,motif_3,0.34720330687830697,12_motif_3
13,motif_1,0.29419898504273506,13_motif_1
13,motif_2,0.311656746031746,13_motif_2
13,motif_3,0.26513084215167554,13_motif_3
14,motif_1,0.29508864795918377,14_motif_1
14,motif_2,0.3306014939309057,14_motif_2
14,motif_3,0.3394632505175983,14_motif_3
15,motif_1,0.29437962962962966,15_motif_1
15,motif_2,0.33006340484911917,15_motif_2
15,motif_3,0.33804384920634917,15_motif_3
16,motif_1,0.2939520709325397,16_motif_1
16,motif_2,0.3294192986718497,16_motif_2
16,motif_3,0.3405278035456606,16_motif_3
17,motif_1,0.2954512492651382,17_motif_1
17,motif_2,0.3233243346160013,17_motif_2
17,motif_3,0.28752677825516165,17_motif_3
18,motif_1,0.29752746819768094,18_motif_1
18,motif_2,0.3120839285714286,18_motif_2
18,motif_3,0.2621774090107423,18_motif_3
19,motif_1,0.29843773809523816,19_motif_1
19,motif_2,0.31265073853615516,19_motif_2
19,motif_3,0.2635878578845868,19_motif_3
20,motif_1,0.2967595114087302,20_motif_1
20,motif_2,0.31278658404000864,20_motif_2
20,motif_3,0.26387316017316004,20_motif_3
21,motif_1,0.2976707563977973,21_motif_1
21,motif_2,0.2670863337204801,21_motif_2
21,motif_3,0.30162295682161744,21_motif_3
22,motif_1,0.27598490021008404,22_motif_1
22,motif_2,0.31214811695118294,22_motif_2
22,motif_3,0.3051650588396278,22_motif_3
23,motif_1,0.29994064872325743,23_motif_1
23,motif_2,0.2911392857142857,23_motif_2
23,motif_3,0.2918401807280883,23_motif_3
24,motif_1,0.29816512817248114,24_motif_1
24,motif_2,0.3135472050930683,24_motif_2
24,motif_3,0.2887022754137116,24_motif_3
25,motif_1,0.3014520020738614,25_motif_1
25,motif_2,0.2806265155140783,25_motif_2
25,motif_3,0.32688196937066283,25_motif_3
26,motif_1,0.3005182291666667,26_motif_1
26,motif_2,0.2876431571815718,26_motif_2
26,motif_3,0.282242348341977,26_motif_3
27,motif_1,0.3066214118825101,27_motif_1
27,motif_2,0.28487759038800703,27_motif_2
27,motif_3,0.5896062226823098,27_motif_3
28,motif_1,0.2559550384256267,28_motif_1
28,motif_2,0.3134487685956296,28_motif_2
28,motif_3,0.6063854593119298,28_motif_3
29,motif_1,0.2863535680076628,29_motif_1
29,motif_2,0.28313828356201237,29_motif_2
29,motif_3,0.3153035182823129,29_motif_3
30,motif_1,0.2891901109118681,30_motif_1
30,motif_2,0.28602365826749226,30_motif_2
30,motif_3,0.40604260912698403,30_motif_3
31,motif_1,0.2858095809654452,31_motif_1
31,motif_2,0.306457045250896,31_motif_2
31,motif_3,0.3347732553982555,31_motif_3
32,motif_1,0.28567640904017855,32_motif_1
32,motif_2,0.25890489366319447,32_motif_2
32,motif_3,0.5719328187003968,32_motif_3
33,motif_1,0.2897113516577801,33_motif_1
33,motif_2,0.2859871439443357,33_motif_2
33,motif_3,0.3493147738446411,33_motif_3
34,motif_1,0.2838292118930905,34_motif_1
34,motif_2,0.2696156556372549,34_motif_2
34,motif_3,0.32368719615767577,34_motif_3
35,motif_1,0.2888027848639455,35_motif_1
35,motif_2,0.28589284816490695,35_motif_2
35,motif_3,0.32963186649659865,35_motif_3
36,motif_1,0.2861530819644931,36_motif_1
36,motif_2,0.3201569505028475,36_motif_2
36,motif_3,0.2662095395923521,36_motif_3
37,motif_1,0.2887036019536019,37_motif_1
37,motif_2,0.2857130925568425,37_motif_2
37,motif_3,0.3864837409935533,37_motif_3
38,motif_1,0.2599728312116926,38_motif_1
38,motif_2,0.3449485871271586,38_motif_2
38,motif_3,0.28749168594563335,38_motif_3
39,motif_1,0.2906138927167866,39_motif_1
39,motif_2,0.2850684650997151,39_motif_2
39,motif_3,0.38505729802604793,39_motif_3
