Motif_ID,Match_Count,Rank
34_motif_1,0,19
4_motif_3,0,29
8_motif_3,0,22
1_motif_1,0,42
1_motif_3,0,41
65_motif_2,0,25
7_motif_3,0,23
72_motif_2,0,24
41_motif_2,0,32
41_motif_3,0,31
24_motif_3,0,37
9_motif_2,0,20
34_motif_2,0,33
53_motif_2,0,28
