Motif_ID,Match_Count,Rank
96_motif_1,49,3
26_motif_2,45,3
93_motif_1,69,3
56_motif_1,47,3
98_motif_1,49,3
52_motif_1,33,3
55_motif_1,48,3
76_motif_1,46,3
25_motif_2,39,3
54_motif_1,48,3
74_motif_1,47,3
69_motif_1,34,3
99_motif_1,49,3
86_motif_1,48,3
50_motif_1,33,3
77_motif_1,46,3
37_motif_3,46,3
79_motif_1,47,3
71_motif_1,48,3
73_motif_1,48,3
33_motif_3,58,3
57_motif_1,34,3
83_motif_1,59,3
100_motif_1,49,3
68_motif_1,33,3
88_motif_1,48,3
59_motif_1,34,3
66_motif_1,33,3
91_motif_1,69,3
45_motif_2,46,3
46_motif_1,46,3
75_motif_1,48,3
30_motif_2,39,3
84_motif_1,48,3
70_motif_1,34,3
27_motif_2,46,3
97_motif_1,69,3
63_motif_1,34,3
64_motif_1,34,3
49_motif_1,33,3
61_motif_1,34,3
85_motif_1,47,3
60_motif_1,34,3
43_motif_2,47,3
31_motif_3,46,3
29_motif_2,39,3
47_motif_1,46,3
51_motif_1,33,3
28_motif_2,46,3
65_motif_1,33,3
87_motif_1,48,3
48_motif_1,33,3
94_motif_1,49,3
35_motif_3,59,3
78_motif_1,46,3
72_motif_1,47,3
81_motif_1,59,3
41_motif_3,40,3
82_motif_1,59,3
44_motif_2,49,3
101_motif_1,66,3
80_motif_1,46,3
95_motif_1,49,3
67_motif_1,33,3
58_motif_1,34,3
62_motif_1,34,3
34_motif_3,57,3
32_motif_3,46,3
53_motif_1,33,3
36_motif_3,59,3
96_motif_2,71,1
26_motif_3,69,1
93_motif_2,71,1
56_motif_2,68,1
98_motif_2,71,1
52_motif_2,74,1
55_motif_2,77,1
76_motif_2,62,1
25_motif_3,69,1
38_motif_2,71,1
54_motif_2,69,1
74_motif_2,76,1
69_motif_2,76,1
99_motif_2,71,1
86_motif_2,67,1
50_motif_2,69,1
77_motif_2,75,1
37_motif_2,40,1
79_motif_2,62,1
71_motif_2,74,1
73_motif_2,74,1
33_motif_2,74,1
57_motif_2,74,1
83_motif_2,74,1
100_motif_2,63,1
68_motif_2,74,1
88_motif_2,75,1
59_motif_2,76,1
66_motif_2,76,1
91_motif_2,71,1
45_motif_3,66,1
39_motif_3,25,1
46_motif_2,74,1
75_motif_2,76,1
30_motif_3,62,1
84_motif_2,70,1
70_motif_2,76,1
27_motif_3,69,1
97_motif_2,71,1
63_motif_2,74,1
64_motif_2,75,1
49_motif_3,49,1
89_motif_2,71,1
22_motif_3,73,1
61_motif_2,76,1
85_motif_2,74,1
60_motif_2,76,1
43_motif_3,63,1
31_motif_2,74,1
21_motif_3,70,1
23_motif_3,73,1
29_motif_3,69,1
47_motif_3,75,1
51_motif_3,75,1
28_motif_3,69,1
65_motif_2,76,1
40_motif_3,0,1
87_motif_2,75,1
48_motif_3,40,1
94_motif_2,71,1
35_motif_2,74,1
92_motif_2,45,1
78_motif_2,74,1
72_motif_2,65,1
81_motif_2,77,1
41_motif_2,59,1
90_motif_2,73,1
82_motif_2,74,1
44_motif_3,65,1
24_motif_3,73,1
101_motif_2,71,1
80_motif_2,62,1
95_motif_2,71,1
42_motif_3,58,1
67_motif_2,74,1
58_motif_2,64,1
62_motif_2,75,1
34_motif_2,74,1
32_motif_2,74,1
53_motif_2,74,1
36_motif_2,74,1
96_motif_3,32,4
93_motif_3,32,4
98_motif_3,32,4
76_motif_3,32,4
74_motif_3,32,4
69_motif_3,32,4
99_motif_3,32,4
86_motif_3,32,4
77_motif_3,32,4
79_motif_3,32,4
71_motif_3,32,4
73_motif_3,32,4
83_motif_3,32,4
100_motif_3,32,4
88_motif_3,32,4
91_motif_3,32,4
75_motif_3,32,4
84_motif_3,32,4
70_motif_3,32,4
97_motif_3,32,4
89_motif_3,32,4
85_motif_3,31,4
87_motif_3,32,4
94_motif_3,32,4
92_motif_3,32,4
78_motif_3,32,4
72_motif_3,32,4
81_motif_3,32,4
90_motif_3,31,4
82_motif_3,32,4
101_motif_3,32,4
80_motif_3,32,4
95_motif_3,32,4
20_motif_1,60,2
26_motif_1,60,2
56_motif_3,60,2
6_motif_1,53,2
52_motif_3,60,2
12_motif_1,59,2
55_motif_3,60,2
25_motif_1,60,2
15_motif_1,60,2
38_motif_1,60,2
54_motif_3,60,2
18_motif_1,60,2
50_motif_3,60,2
37_motif_1,60,2
33_motif_1,60,2
57_motif_3,60,2
17_motif_1,60,2
