Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.29128406084656083,1_motif_1
1,motif_2,0.27349429563492056,1_motif_2
1,motif_3,0.3003725198412698,1_motif_3
2,motif_1,0.27258645124716546,2_motif_1
2,motif_2,0.3022485119047619,2_motif_2
2,motif_3,0.46801488095238086,2_motif_3
3,motif_1,0.47178300865800865,3_motif_1
3,motif_2,0.2532678571428571,3_motif_2
3,motif_3,0.49472165532879814,3_motif_3
4,motif_1,0.5023245073891626,4_motif_1
4,motif_2,0.26633517048794825,4_motif_2
4,motif_3,0.5779253034547153,4_motif_3
5,motif_1,0.3720846171802054,5_motif_1
5,motif_2,0.6161777281746031,5_motif_2
5,motif_3,0.28229700854700857,5_motif_3
6,motif_1,0.35906856909430435,6_motif_1
6,motif_2,0.6005096801346801,6_motif_2
6,motif_3,0.28031444991789817,6_motif_3
7,motif_1,0.35179516806722694,7_motif_1
7,motif_2,0.2901037784679089,7_motif_2
7,motif_3,0.2821570105820106,7_motif_3
8,motif_1,0.34234708538587855,8_motif_1
8,motif_2,0.28995250896057345,8_motif_2
8,motif_3,0.27867617880485535,8_motif_3
9,motif_1,0.3429852843915345,9_motif_1
9,motif_2,0.2896362272551297,9_motif_2
9,motif_3,0.27736810279667423,9_motif_3
10,motif_1,0.3423337301587302,10_motif_1
10,motif_2,0.2910376249265138,10_motif_2
10,motif_3,0.2771038492063492,10_motif_3
11,motif_1,0.34179029130591637,11_motif_1
11,motif_2,0.29101621403769834,11_motif_2
11,motif_3,0.2831264526643991,11_motif_3
12,motif_1,0.3413724165013228,12_motif_1
12,motif_2,0.2892068602693602,12_motif_2
12,motif_3,0.2836437773176903,12_motif_3
13,motif_1,0.34237782356532354,13_motif_1
13,motif_2,0.295642580287929,13_motif_2
13,motif_3,0.28961803011803017,13_motif_3
14,motif_1,0.34346584467120184,14_motif_1
14,motif_2,0.295642580287929,14_motif_2
14,motif_3,0.2803372197676322,14_motif_3
15,motif_1,0.34408700396825403,15_motif_1
15,motif_2,0.2888177592954989,15_motif_2
15,motif_3,0.28033721976763215,15_motif_3
16,motif_1,0.3444734468005953,16_motif_1
16,motif_2,0.2889511207636207,16_motif_2
16,motif_3,0.27471620879120884,16_motif_3
17,motif_1,0.3447998338870432,17_motif_1
17,motif_2,0.2889511207636207,17_motif_2
17,motif_3,0.2750154172029173,17_motif_3
18,motif_1,0.34408704212454216,18_motif_1
18,motif_2,0.2889511207636207,18_motif_2
18,motif_3,0.2761432589913603,18_motif_3
19,motif_1,0.3447998338870432,19_motif_1
19,motif_2,0.29100058987558985,19_motif_2
19,motif_3,0.2770100373482726,19_motif_3
20,motif_1,0.34408704212454216,20_motif_1
20,motif_2,0.32941715590345727,20_motif_2
20,motif_3,0.27733670634920643,20_motif_3
21,motif_1,0.34408704212454216,21_motif_1
21,motif_2,0.32941715590345727,21_motif_2
21,motif_3,0.6337416056166053,21_motif_3
22,motif_1,0.3447998338870432,22_motif_1
22,motif_2,0.29479985919098817,22_motif_2
22,motif_3,0.6333723781179138,22_motif_3
23,motif_1,0.3447998338870432,23_motif_1
23,motif_2,0.30188582251082247,23_motif_2
23,motif_3,0.6333723781179138,23_motif_3
24,motif_1,0.34408704212454216,24_motif_1
24,motif_2,0.30188582251082247,24_motif_2
24,motif_3,0.6318797313797313,24_motif_3
25,motif_1,0.3447998338870432,25_motif_1
25,motif_2,0.29775693421698574,25_motif_2
25,motif_3,0.6493920855379187,25_motif_3
26,motif_1,0.3447998338870432,26_motif_1
26,motif_2,0.2966646614319487,26_motif_2
26,motif_3,0.6493920855379187,26_motif_3
27,motif_1,0.3447998338870432,27_motif_1
27,motif_2,0.30863048172757485,27_motif_2
27,motif_3,0.6511123286435786,27_motif_3
28,motif_1,0.34447344680059533,28_motif_1
28,motif_2,0.3044014048327665,28_motif_2
28,motif_3,0.6473535412353346,28_motif_3
29,motif_1,0.3447998338870432,29_motif_1
29,motif_2,0.30226015351367463,29_motif_2
29,motif_3,0.6473535412353346,29_motif_3
30,motif_1,0.3447998338870432,30_motif_1
30,motif_2,0.30226015351367463,30_motif_2
30,motif_3,0.6423187695713205,30_motif_3
31,motif_1,0.3447998338870432,31_motif_1
31,motif_2,0.6270874408242829,31_motif_2
31,motif_3,0.298612799926172,31_motif_3
32,motif_1,0.34537817758682426,32_motif_1
32,motif_2,0.6269745714285712,32_motif_2
32,motif_3,0.30023638570011346,32_motif_3
33,motif_1,0.34537817758682426,33_motif_1
33,motif_2,0.6331858564321249,33_motif_2
33,motif_3,0.29927757845908526,33_motif_3
34,motif_1,0.34537817758682426,34_motif_1
34,motif_2,0.6331858564321249,34_motif_2
34,motif_3,0.299649608686067,34_motif_3
35,motif_1,0.34478489124044687,35_motif_1
35,motif_2,0.6322971056721055,35_motif_2
35,motif_3,0.3060777256848686,35_motif_3
36,motif_1,0.34478489124044687,36_motif_1
36,motif_2,0.6322971056721055,36_motif_2
36,motif_3,0.3060777256848686,36_motif_3
37,motif_1,0.34478489124044687,37_motif_1
37,motif_2,0.6531372247823859,37_motif_2
37,motif_3,0.2980499533146592,37_motif_3
38,motif_1,0.34547629412461506,38_motif_1
38,motif_2,0.6550420506912442,38_motif_2
38,motif_3,0.2876984032501889,38_motif_3
39,motif_1,0.34547629412461506,39_motif_1
39,motif_2,0.2793821206052514,39_motif_2
39,motif_3,0.6588136328292576,39_motif_3
40,motif_1,0.34478489124044687,40_motif_1
40,motif_2,0.2892846754267745,40_motif_2
40,motif_3,0.6502551943998571,40_motif_3
41,motif_1,0.34516726339658677,41_motif_1
41,motif_2,0.654657160110421,41_motif_2
41,motif_3,0.2899532325467059,41_motif_3
42,motif_1,0.3448992754930255,42_motif_1
42,motif_2,0.3450227503282015,42_motif_2
42,motif_3,0.6546890707671956,42_motif_3
43,motif_1,0.344750619047619,43_motif_1
43,motif_2,0.28708683814158265,43_motif_2
43,motif_3,0.6480396310039166,43_motif_3
44,motif_1,0.34516726339658677,44_motif_1
44,motif_2,0.2871339844623295,44_motif_2
44,motif_3,0.6460646976090013,44_motif_3
45,motif_1,0.344750619047619,45_motif_1
45,motif_2,0.29491585097001766,45_motif_2
45,motif_3,0.6494678688141923,45_motif_3
46,motif_1,0.29509581360168374,46_motif_1
46,motif_2,0.6406926448874122,46_motif_2
46,motif_3,0.344750619047619,46_motif_3
47,motif_1,0.2960423354114163,47_motif_1
47,motif_2,0.34447344680059533,47_motif_2
47,motif_3,0.6314664415445663,47_motif_3
48,motif_1,0.286500625223294,48_motif_1
48,motif_2,0.344562740015361,48_motif_2
48,motif_3,0.6607326182869312,48_motif_3
49,motif_1,0.2868127108134921,49_motif_1
49,motif_2,0.344750619047619,49_motif_2
49,motif_3,0.6613739921894682,49_motif_3
50,motif_1,0.286906317031317,50_motif_1
50,motif_2,0.6323719036942129,50_motif_2
50,motif_3,0.34375765965300853,50_motif_3
51,motif_1,0.28706361318752305,51_motif_1
51,motif_2,0.34375765965300853,51_motif_2
51,motif_3,0.6305646302448626,51_motif_3
52,motif_1,0.28739533869885986,52_motif_1
52,motif_2,0.63648082010582,52_motif_2
52,motif_3,0.34375765965300853,52_motif_3
53,motif_1,0.2857614989177489,53_motif_1
53,motif_2,0.6359066555012372,53_motif_2
53,motif_3,0.3444734468005953,53_motif_3
54,motif_1,0.2934763255458679,54_motif_1
54,motif_2,0.6305312604900972,54_motif_2
54,motif_3,0.3444734468005953,54_motif_3
55,motif_1,0.29362028769841275,55_motif_1
55,motif_2,0.6283770034528963,55_motif_2
55,motif_3,0.344750619047619,55_motif_3
56,motif_1,0.29400369056576736,56_motif_1
56,motif_2,0.6289706123620851,56_motif_2
56,motif_3,0.344750619047619,56_motif_3
57,motif_1,0.28645258653662264,57_motif_1
57,motif_2,0.6362215186310929,57_motif_2
57,motif_3,0.344750619047619,57_motif_3
58,motif_1,0.28645258653662264,58_motif_1
58,motif_2,0.6459213808908577,58_motif_2
58,motif_3,0.344750619047619,58_motif_3
59,motif_1,0.28645258653662264,59_motif_1
59,motif_2,0.6281657820240621,59_motif_2
59,motif_3,0.344750619047619,59_motif_3
60,motif_1,0.28645258653662264,60_motif_1
60,motif_2,0.6281657820240621,60_motif_2
60,motif_3,0.344750619047619,60_motif_3
61,motif_1,0.28645258653662264,61_motif_1
61,motif_2,0.6281657820240621,61_motif_2
61,motif_3,0.344750619047619,61_motif_3
62,motif_1,0.28645258653662264,62_motif_1
62,motif_2,0.6291411804158281,62_motif_2
62,motif_3,0.344750619047619,62_motif_3
63,motif_1,0.2866491549953314,63_motif_1
63,motif_2,0.6380516817838245,63_motif_2
63,motif_3,0.3444734468005953,63_motif_3
64,motif_1,0.28895052611687955,64_motif_1
64,motif_2,0.6305421911333534,64_motif_2
64,motif_3,0.34375765965300853,64_motif_3
65,motif_1,0.28716459551656925,65_motif_1
65,motif_2,0.6309317255270902,65_motif_2
65,motif_3,0.37769254298941796,65_motif_3
66,motif_1,0.2872203101682268,66_motif_1
66,motif_2,0.6306193753804372,66_motif_2
66,motif_3,0.32827152547065336,66_motif_3
67,motif_1,0.28743928737117663,67_motif_1
67,motif_2,0.6376083692916217,67_motif_2
67,motif_3,0.3282430613570964,67_motif_3
68,motif_1,0.28743928737117663,68_motif_1
68,motif_2,0.6372918178382463,68_motif_2
68,motif_3,0.3282430613570964,68_motif_3
69,motif_1,0.2874681162941367,69_motif_1
69,motif_2,0.6309324507580809,69_motif_2
69,motif_3,0.2944376102292768,69_motif_3
70,motif_1,0.2874681162941367,70_motif_1
70,motif_2,0.6309324507580809,70_motif_2
70,motif_3,0.2922947774587221,70_motif_3
71,motif_1,0.2951177454223615,71_motif_1
71,motif_2,0.6309384976842483,71_motif_2
71,motif_3,0.2909096204721203,71_motif_3
72,motif_1,0.29482624211300684,72_motif_1
72,motif_2,0.6577770310047094,72_motif_2
72,motif_3,0.2907576494958569,72_motif_3
73,motif_1,0.29473288294003214,73_motif_1
73,motif_2,0.6245540447989686,73_motif_2
73,motif_3,0.29061130707426996,73_motif_3
74,motif_1,0.30667887977262975,74_motif_1
74,motif_2,0.6245223785166238,74_motif_2
74,motif_3,0.29058397065897057,74_motif_3
75,motif_1,0.29536490021903145,75_motif_1
75,motif_2,0.6238378851540615,75_motif_2
75,motif_3,0.2905576105442176,75_motif_3
76,motif_1,0.29863669159123707,76_motif_1
76,motif_2,0.6351237516745828,76_motif_2
76,motif_3,0.2905186507936507,76_motif_3
77,motif_1,0.29919279261840237,77_motif_1
77,motif_2,0.6216125025767881,77_motif_2
77,motif_3,0.2902738327299729,77_motif_3
78,motif_1,0.2981060871998372,78_motif_1
78,motif_2,0.6299936855158728,78_motif_2
78,motif_3,0.2902382682724251,78_motif_3
79,motif_1,0.29841240644464534,79_motif_1
79,motif_2,0.6350001934523809,79_motif_2
79,motif_3,0.2902020192054721,79_motif_3
80,motif_1,0.2981107130417476,80_motif_1
80,motif_2,0.6350001934523809,80_motif_2
80,motif_3,0.2901743165784831,80_motif_3
81,motif_1,0.30512719119319587,81_motif_1
81,motif_2,0.6208273166891586,81_motif_2
81,motif_3,0.291781954410379,81_motif_3
82,motif_1,0.3056209984248152,82_motif_1
82,motif_2,0.6193972826760912,82_motif_2
82,motif_3,0.29183263933376036,82_motif_3
83,motif_1,0.30535865729701084,83_motif_1
83,motif_2,0.6196891111418728,83_motif_2
83,motif_3,0.29183263933376036,83_motif_3
84,motif_1,0.29815611324012964,84_motif_1
84,motif_2,0.6209274547168263,84_motif_2
84,motif_3,0.29024962602842175,84_motif_3
85,motif_1,0.2988874081971097,85_motif_1
85,motif_2,0.6171920837678136,85_motif_2
85,motif_3,0.2856970164609053,85_motif_3
86,motif_1,0.2984091489337123,86_motif_1
86,motif_2,0.5920777455771489,86_motif_2
86,motif_3,0.2903800862138424,86_motif_3
87,motif_1,0.3002199410702405,87_motif_1
87,motif_2,0.6137181581338558,87_motif_2
87,motif_3,0.29043520180266397,87_motif_3
88,motif_1,0.30007488112719394,88_motif_1
88,motif_2,0.6131629512571989,88_motif_2
88,motif_3,0.2903815583704745,88_motif_3
89,motif_1,0.29480837673611104,89_motif_1
89,motif_2,0.618086377413364,89_motif_2
89,motif_3,0.29218742740998827,89_motif_3
90,motif_1,0.2954562349687349,90_motif_1
90,motif_2,0.6160411078717201,90_motif_2
90,motif_3,0.2948863701784686,90_motif_3
91,motif_1,0.30730906048316764,91_motif_1
91,motif_2,0.6148479748221126,91_motif_2
91,motif_3,0.29013684725097755,91_motif_3
92,motif_1,0.2949082229382981,92_motif_1
92,motif_2,0.6287124742617353,92_motif_2
92,motif_3,0.2920877391514273,92_motif_3
93,motif_1,0.30187097016044384,93_motif_1
93,motif_2,0.6138478748462206,93_motif_2
93,motif_3,0.29016667607011193,93_motif_3
94,motif_1,0.30323000833755487,94_motif_1
94,motif_2,0.6022040656638241,94_motif_2
94,motif_3,0.29044141749723135,94_motif_3
95,motif_1,0.3026439655352699,95_motif_1
95,motif_2,0.6131689316011939,95_motif_2
95,motif_3,0.2901905961609449,95_motif_3
96,motif_1,0.30339505885034607,96_motif_1
96,motif_2,0.6131689316011939,96_motif_2
96,motif_3,0.2901905961609449,96_motif_3
97,motif_1,0.3048975413189331,97_motif_1
97,motif_2,0.6140045762928825,97_motif_2
97,motif_3,0.2902170927510788,97_motif_3
98,motif_1,0.304531285430839,98_motif_1
98,motif_2,0.600154754317278,98_motif_2
98,motif_3,0.290668318609495,98_motif_3
99,motif_1,0.30490379746835444,99_motif_1
99,motif_2,0.600154754317278,99_motif_2
99,motif_3,0.290668318609495,99_motif_3
100,motif_1,0.30470001736111113,100_motif_1
100,motif_2,0.6373059262920853,100_motif_2
