Number_x,Layer,Ml_Average_Probability,Motif_ID,Ratio,Match_Count,Rank,Frequent_score,Total,Accession
1,motif_1,0.289921875,1_motif_1,0.625,2,2,0.23432343234323433,1.1492453073432343,NC_001416
2,motif_1,0.3163680555555555,2_motif_1,0.5833333333333334,69,2,0.23432343234323433,1.1340248212321233,NC_001416
3,motif_1,0.35352769151138724,3_motif_1,0.34782608695652173,70,2,0.23432343234323433,0.9356772108111433,NC_001416
4,motif_1,0.3534012896825397,4_motif_1,0.25,70,2,0.23432343234323433,0.837724722025774,NC_001416
5,motif_1,0.3454118551587302,5_motif_1,0.2,70,2,0.23432343234323433,0.7797352875019645,NC_001416
6,motif_1,0.3472808172914556,6_motif_1,0.19148936170212766,70,2,0.23432343234323433,0.7730936113368176,NC_001416
7,motif_1,0.347794227994228,7_motif_1,0.16363636363636364,70,2,0.23432343234323433,0.7457540239738261,NC_001416
8,motif_3,0.5869574348607367,8_motif_3,0.1509433962264151,1,13,0.006600660066006601,0.7445014911531583,NC_001416
9,motif_1,0.34474418734629997,9_motif_1,0.1267605633802817,70,2,0.23432343234323433,0.705828183069816,NC_001416
10,motif_1,0.34611276025561744,10_motif_1,0.11688311688311688,70,2,0.23432343234323433,0.6973193094819686,NC_001416
11,motif_3,0.53688747848537,11_motif_3,0.13253012048192772,1,6,0.0429042904290429,0.7123218893963406,NC_001416
12,motif_1,0.34118506683375105,12_motif_1,0.11578947368421053,70,2,0.23432343234323433,0.6912979728611959,NC_001416
13,motif_1,0.33656620819848965,13_motif_1,0.0970873786407767,70,2,0.23432343234323433,0.6679770191825007,NC_001416
14,motif_2,0.34827007157029477,14_motif_2,0.07142857142857142,54,1,0.3201320132013201,0.7398306562001863,NC_001416
15,motif_2,0.2992337301587302,15_motif_2,0.075,54,1,0.3201320132013201,0.6943657433600503,NC_001416
16,motif_1,0.3004880642361112,16_motif_1,0.0703125,54,1,0.3201320132013201,0.6909325774374313,NC_001416
17,motif_1,0.3021898442092887,17_motif_1,0.06666666666666667,54,1,0.3201320132013201,0.6889885240772755,NC_001416
18,motif_1,0.30121848984348987,18_motif_1,0.06293706293706294,54,1,0.3201320132013201,0.6842875659818729,NC_001416
19,motif_1,0.30279171888053474,19_motif_1,0.05921052631578947,54,1,0.3201320132013201,0.6821342583976444,NC_001416
20,motif_1,0.2993991838873915,20_motif_1,0.05660377358490566,54,1,0.3201320132013201,0.6761349706736173,NC_001416
21,motif_1,0.35576491638321994,21_motif_1,0.05952380952380952,43,1,0.3201320132013201,0.7354207391083496,NC_001416
22,motif_1,0.3613548881673881,22_motif_1,0.056818181818181816,43,1,0.3201320132013201,0.73830508318689,NC_001416
23,motif_1,0.29636849466562587,23_motif_1,0.0546448087431694,54,1,0.3201320132013201,0.6711453166101153,NC_001416
24,motif_2,0.36052592592592586,24_motif_2,0.075,70,2,0.23432343234323433,0.6698493582691603,NC_001416
25,motif_1,0.34477271825396827,25_motif_1,0.05,54,1,0.3201320132013201,0.7149047314552883,NC_001416
26,motif_1,0.37278440743284497,26_motif_1,0.057692307692307696,39,1,0.3201320132013201,0.7506087283264729,NC_001416
27,motif_1,0.3522785844088414,27_motif_1,0.06074766355140187,54,1,0.3201320132013201,0.7331582611615635,NC_001416
28,motif_1,0.30202752090419505,28_motif_1,0.05357142857142857,54,1,0.3201320132013201,0.6757309626769437,NC_001416
29,motif_1,0.3078175458401752,29_motif_1,0.05172413793103448,54,1,0.3201320132013201,0.6796736969725298,NC_001416
30,motif_1,0.3035671296296297,30_motif_1,0.05,54,1,0.3201320132013201,0.6736991428309498,NC_001416
31,motif_1,0.31074861591141834,31_motif_1,0.04838709677419355,54,1,0.3201320132013201,0.679267725886932,NC_001416
32,motif_1,0.31204692925347227,32_motif_1,0.046875,54,1,0.3201320132013201,0.6790539424547923,NC_001416
33,motif_1,0.3115759701852859,33_motif_1,0.045627376425855515,54,1,0.3201320132013201,0.6773353598124615,NC_001416
34,motif_1,0.3505296443268665,34_motif_1,0.044444444444444446,39,1,0.3201320132013201,0.715106101972631,NC_001416
35,motif_1,0.3106328214860824,35_motif_1,0.043478260869565216,54,1,0.3201320132013201,0.6742430955569677,NC_001416
36,motif_1,0.3126874199387357,36_motif_1,0.05263157894736842,54,1,0.3201320132013201,0.6854510120874242,NC_001416
37,motif_1,0.3166152335371086,37_motif_1,0.057432432432432436,54,1,0.3201320132013201,0.6941796791708612,NC_001416
38,motif_1,0.3565500696415431,38_motif_1,0.046357615894039736,41,1,0.3201320132013201,0.723039698736903,NC_001416
39,motif_1,0.3144975182463125,39_motif_1,0.06109324758842444,54,1,0.3201320132013201,0.6957227790360571,NC_001416
40,motif_1,0.31500275538637607,40_motif_1,0.05956112852664577,54,1,0.3201320132013201,0.694695897114342,NC_001416
41,motif_1,0.36054091710758374,41_motif_1,0.06349206349206349,47,1,0.3201320132013201,0.7441649938009673,NC_001416
42,motif_1,0.357164706662807,42_motif_1,0.060790273556231005,47,1,0.3201320132013201,0.7380869934203581,NC_001416
43,motif_1,0.357164706662807,43_motif_1,0.060790273556231005,47,1,0.3201320132013201,0.7380869934203581,NC_001416
44,motif_1,0.36052616457067493,44_motif_1,0.05934718100890208,47,1,0.3201320132013201,0.7400053587808971,NC_001416
45,motif_1,0.3223065310846561,45_motif_1,0.058333333333333334,55,1,0.3201320132013201,0.7007718776193096,NC_001416
46,motif_1,0.32300379787187267,46_motif_1,0.05817174515235457,55,1,0.3201320132013201,0.7013075562255473,NC_001416
47,motif_1,0.353508254615252,47_motif_1,0.05434782608695652,47,1,0.3201320132013201,0.7279880939035286,NC_001416
48,motif_1,0.317534412202381,48_motif_1,0.059895833333333336,54,1,0.3201320132013201,0.6975622587370345,NC_001416
49,motif_1,0.31732167979164105,49_motif_1,0.059431524547803614,54,1,0.3201320132013201,0.6968852175407647,NC_001416
50,motif_1,0.31923210317460315,50_motif_1,0.0525,54,1,0.3201320132013201,0.6918641163759233,NC_001416
51,motif_1,0.32896609303787533,51_motif_1,0.0594059405940594,87,1,0.3201320132013201,0.7085040468332549,NC_001416
52,motif_1,0.34795058945908464,52_motif_1,0.043689320388349516,44,1,0.3201320132013201,0.7117719230487543,NC_001416
53,motif_1,0.2919197430173993,53_motif_1,0.040865384615384616,39,1,0.3201320132013201,0.6529171408341041,NC_001416
54,motif_1,0.3210701579935919,54_motif_1,0.048723897911832945,54,1,0.3201320132013201,0.689926069106745,NC_001416
55,motif_1,0.32899647366522367,55_motif_1,0.05909090909090909,91,1,0.3201320132013201,0.7082193959574529,NC_001416
56,motif_1,0.32773564083270634,56_motif_1,0.056433408577878104,91,1,0.3201320132013201,0.7043010626119046,NC_001416
57,motif_2,0.6051784174876846,57_motif_2,0.0,27,4,0.09570957095709572,0.7008879884447804,NC_001416
58,motif_1,0.3137058317939245,58_motif_1,0.04310344827586207,54,1,0.3201320132013201,0.6769412932711066,NC_001416
59,motif_3,0.5907699643164758,59_motif_3,0.015503875968992248,28,4,0.09570957095709572,0.7019834112425638,NC_001416
60,motif_3,0.5692638395324962,60_motif_3,0.009950248756218905,14,4,0.09570957095709572,0.6749236592458108,NC_001416
61,motif_1,0.31345377024868815,61_motif_1,0.045174537987679675,54,1,0.3201320132013201,0.6787603214376879,NC_001416
62,motif_1,0.31345377024868815,62_motif_1,0.045174537987679675,54,1,0.3201320132013201,0.6787603214376879,NC_001416
63,motif_2,0.5803562200073826,63_motif_2,0.015503875968992248,15,4,0.09570957095709572,0.6915696669334707,NC_001416
64,motif_2,0.577882793764988,64_motif_2,0.02877697841726619,15,4,0.09570957095709572,0.70236934313935,NC_001416
65,motif_1,0.35496825779123464,65_motif_1,0.04046242774566474,48,1,0.3201320132013201,0.7155626987382195,NC_001416
66,motif_2,0.5767345825984713,66_motif_2,0.014814814814814815,15,4,0.09570957095709572,0.6872589683703819,NC_001416
67,motif_1,0.34205068407960193,67_motif_1,0.041044776119402986,48,1,0.3201320132013201,0.703227473400325,NC_001416
68,motif_2,0.5952110739979444,68_motif_2,0.014388489208633094,15,4,0.09570957095709572,0.7053091341636732,NC_001416
69,motif_2,0.5935776253738209,69_motif_2,0.014492753623188406,15,4,0.09570957095709572,0.703779949954105,NC_001416
70,motif_2,0.5950219246031744,70_motif_2,0.014285714285714285,15,4,0.09570957095709572,0.7050172098459844,NC_001416
71,motif_1,0.3439514401720284,71_motif_1,0.0481283422459893,48,1,0.3201320132013201,0.7122117956193378,NC_001416
72,motif_1,0.3436999979187479,72_motif_1,0.0472027972027972,48,1,0.3201320132013201,0.7110348083228653,NC_001416
73,motif_3,0.6015595466155811,73_motif_3,0.022988505747126436,18,4,0.09570957095709572,0.7202576233198033,NC_001416
74,motif_1,0.3493014532389533,74_motif_1,0.03885135135135135,48,1,0.3201320132013201,0.7082848177916248,NC_001416
75,motif_1,0.3492300958994709,75_motif_1,0.03833333333333333,48,1,0.3201320132013201,0.7076954424341244,NC_001416
76,motif_3,0.5865225291265931,76_motif_3,0.019704433497536946,19,4,0.09570957095709572,0.7019365335812258,NC_001416
77,motif_1,0.3216694320232212,77_motif_1,0.051070840197693576,91,1,0.3201320132013201,0.6928722854222349,NC_001416
78,motif_1,0.321485241662208,78_motif_1,0.04975922953451043,91,1,0.3201320132013201,0.6913764843980386,NC_001416
79,motif_1,0.3209319485321863,79_motif_1,0.0491283676703645,91,1,0.3201320132013201,0.690192329403871,NC_001416
80,motif_3,0.6064608553260661,80_motif_3,0.024096385542168676,24,4,0.09570957095709572,0.7262668118253305,NC_001416
