Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.2711437074829932,1_motif_1
1,motif_2,0.25929861111111113,1_motif_2
1,motif_3,0.512107142857143,1_motif_3
2,motif_1,0.30817063492063484,2_motif_1
2,motif_2,0.3337864583333333,2_motif_2
2,motif_3,0.3167217643467643,2_motif_3
3,motif_1,0.40183482142857146,3_motif_1
3,motif_2,0.4627592592592593,3_motif_2
3,motif_3,0.3634525462962963,3_motif_3
4,motif_1,0.3616468253968253,4_motif_1
4,motif_2,0.37355840773809523,4_motif_2
4,motif_3,0.45987883141762453,4_motif_3
5,motif_1,0.2939778244631185,5_motif_1
5,motif_2,0.30817063492063484,5_motif_2
5,motif_3,0.34219677579365076,5_motif_3
6,motif_1,0.31042158730158725,6_motif_1
6,motif_2,0.34736681019925697,6_motif_2
6,motif_3,0.30817063492063484,6_motif_3
7,motif_1,0.31042158730158725,7_motif_1
7,motif_2,0.316687216553288,7_motif_2
7,motif_3,0.33052182539682545,7_motif_3
8,motif_1,0.31042158730158725,8_motif_1
8,motif_2,0.36991948784722223,8_motif_2
8,motif_3,0.33052182539682545,8_motif_3
9,motif_1,0.31042158730158725,9_motif_1
9,motif_2,0.3743218694885362,9_motif_2
9,motif_3,0.30776532186948846,9_motif_3
10,motif_1,0.31042158730158725,10_motif_1
10,motif_2,0.3312754169178219,10_motif_2
10,motif_3,0.3726692460317461,10_motif_3
11,motif_1,0.31042158730158725,11_motif_1
11,motif_2,0.36929628878066384,11_motif_2
11,motif_3,0.33919769119769116,11_motif_3
12,motif_1,0.31042158730158725,12_motif_1
12,motif_2,0.3663997189153439,12_motif_2
12,motif_3,0.33337516534391526,12_motif_3
13,motif_1,0.31050793650793646,13_motif_1
13,motif_2,0.35566447268009765,13_motif_2
13,motif_3,0.33338690476190475,13_motif_3
14,motif_1,0.29464526643990924,14_motif_1
14,motif_2,0.35601210317460313,14_motif_2
14,motif_3,0.3325043225623583,14_motif_3
15,motif_1,0.29700456349206333,15_motif_1
15,motif_2,0.3559605519480519,15_motif_2
15,motif_3,0.6302021284271287,15_motif_3
16,motif_1,0.29650365823412694,16_motif_1
16,motif_2,0.357861143637783,16_motif_2
16,motif_3,0.6414959077380952,16_motif_3
17,motif_1,0.29536204481792705,17_motif_1
17,motif_2,0.36325080834803053,17_motif_2
17,motif_3,0.6370347736625513,17_motif_3
18,motif_1,0.3478194761904762,18_motif_1
18,motif_2,0.2974309964726631,18_motif_2
18,motif_3,0.6351340465090464,18_motif_3
19,motif_1,0.34898535954785953,19_motif_1
19,motif_2,0.2977572055137844,19_motif_2
19,motif_3,0.6377311507936507,19_motif_3
20,motif_1,0.3464236602231652,20_motif_1
20,motif_2,0.30852132936507937,20_motif_2
20,motif_3,0.6289426432511537,20_motif_3
21,motif_1,0.6527701955782312,21_motif_1
21,motif_2,0.28816842723004693,21_motif_2
21,motif_3,0.3081392195767195,21_motif_3
22,motif_1,0.6138849431818181,22_motif_1
22,motif_2,0.2961712771813927,22_motif_2
22,motif_3,0.27897181637806634,22_motif_3
23,motif_1,0.5890313793995859,23_motif_1
23,motif_2,0.2963289337474119,23_motif_2
23,motif_3,0.3817101757369614,23_motif_3
24,motif_1,0.5895513366750208,24_motif_1
24,motif_2,0.28203362573099416,24_motif_2
24,motif_3,0.3630702094090648,24_motif_3
25,motif_1,0.5982083035714286,25_motif_1
25,motif_2,0.3154676226551226,25_motif_2
25,motif_3,0.30185754178214497,25_motif_3
26,motif_1,0.600557867159809,26_motif_1
26,motif_2,0.2865258980785296,26_motif_2
26,motif_3,0.3046502446447835,26_motif_3
27,motif_1,0.6053187095825984,27_motif_1
27,motif_2,0.2802982311719014,27_motif_2
27,motif_3,0.3025751107419712,27_motif_3
28,motif_1,0.6061492632927611,28_motif_1
28,motif_2,0.29707570770243574,28_motif_2
28,motif_3,0.3443356295701801,28_motif_3
29,motif_1,0.6781644601806238,29_motif_1
29,motif_2,0.2962760214931267,29_motif_2
29,motif_3,0.2976468938149972,29_motif_3
30,motif_1,0.6063661871693121,30_motif_1
30,motif_2,0.29676814543481206,30_motif_2
30,motif_3,0.32002269484572854,30_motif_3
31,motif_1,0.5889933085919927,31_motif_1
31,motif_2,0.29795072617441026,31_motif_2
31,motif_3,0.6353786389049545,31_motif_3
32,motif_1,0.5439989807033927,32_motif_1
32,motif_2,0.6743424992219109,32_motif_2
32,motif_3,0.29781490265376975,32_motif_3
33,motif_1,0.5418191137566138,33_motif_1
33,motif_2,0.6645868112137123,33_motif_2
33,motif_3,0.29812878719295066,33_motif_3
34,motif_1,0.538178680847339,34_motif_1
34,motif_2,0.663068704212454,34_motif_2
34,motif_3,0.2978934472177966,34_motif_3
