Motif_ID,Match_Count,Rank
96_motif_1,10,6
93_motif_1,8,6
98_motif_1,10,6
25_motif_1,4,6
74_motif_1,12,6
99_motif_1,8,6
79_motif_1,4,6
17_motif_1,3,6
88_motif_1,6,6
91_motif_1,5,6
97_motif_1,9,6
89_motif_1,6,6
92_motif_1,8,6
78_motif_1,6,6
90_motif_1,6,6
80_motif_1,14,6
95_motif_1,11,6
96_motif_2,1,21
17_motif_2,0,21
96_motif_3,19,4
98_motif_3,19,4
12_motif_1,3,4
25_motif_2,18,4
74_motif_2,19,4
99_motif_3,19,4
37_motif_3,10,4
79_motif_2,15,4
33_motif_3,15,4
57_motif_3,9,4
83_motif_3,19,4
68_motif_3,10,4
88_motif_3,22,4
91_motif_3,22,4
39_motif_3,10,4
30_motif_3,22,4
84_motif_3,18,4
97_motif_3,18,4
89_motif_3,22,4
13_motif_1,3,4
31_motif_3,16,4
29_motif_3,22,4
51_motif_3,11,4
78_motif_3,14,4
81_motif_3,18,4
41_motif_2,24,4
14_motif_1,5,4
90_motif_3,22,4
82_motif_3,18,4
95_motif_2,18,4
67_motif_3,8,4
34_motif_3,16,4
32_motif_3,16,4
16_motif_2,5,4
36_motif_3,18,4
20_motif_1,13,2
26_motif_1,18,2
76_motif_1,30,2
15_motif_1,11,2
18_motif_1,13,2
86_motif_1,30,2
77_motif_1,30,2
83_motif_1,30,2
100_motif_1,37,2
66_motif_1,29,2
45_motif_1,29,2
46_motif_1,29,2
75_motif_1,29,2
30_motif_1,29,2
84_motif_1,30,2
27_motif_1,37,2
19_motif_1,13,2
63_motif_1,29,2
64_motif_1,29,2
22_motif_1,13,2
85_motif_1,30,2
43_motif_1,29,2
31_motif_1,30,2
21_motif_1,13,2
23_motif_1,13,2
29_motif_1,30,2
47_motif_1,28,2
28_motif_1,37,2
65_motif_1,29,2
87_motif_1,30,2
94_motif_1,38,2
72_motif_1,30,2
81_motif_1,30,2
82_motif_1,30,2
44_motif_1,29,2
24_motif_1,13,2
