Motif_ID,Match_Count,Rank
96_motif_1,90,1
20_motif_1,97,1
26_motif_1,97,1
93_motif_1,95,1
56_motif_1,87,1
98_motif_1,95,1
6_motif_1,51,1
5_motif_1,41,1
52_motif_1,93,1
12_motif_1,88,1
55_motif_1,93,1
76_motif_1,92,1
25_motif_1,97,1
15_motif_1,97,1
38_motif_1,97,1
54_motif_1,88,1
18_motif_1,95,1
74_motif_1,94,1
69_motif_1,94,1
99_motif_1,94,1
86_motif_1,93,1
50_motif_1,88,1
77_motif_1,94,1
37_motif_1,97,1
79_motif_1,94,1
71_motif_1,93,1
73_motif_1,92,1
33_motif_1,97,1
57_motif_1,92,1
83_motif_1,93,1
17_motif_1,97,1
100_motif_1,91,1
68_motif_1,94,1
88_motif_1,94,1
59_motif_1,92,1
66_motif_1,93,1
91_motif_1,90,1
45_motif_1,97,1
39_motif_1,97,1
46_motif_1,97,1
75_motif_1,92,1
30_motif_1,97,1
84_motif_1,94,1
70_motif_1,95,1
27_motif_1,97,1
19_motif_1,96,1
97_motif_1,93,1
63_motif_1,92,1
64_motif_1,92,1
49_motif_1,93,1
89_motif_1,93,1
13_motif_1,97,1
22_motif_1,97,1
61_motif_1,92,1
85_motif_1,94,1
60_motif_1,92,1
10_motif_1,97,1
43_motif_1,97,1
31_motif_1,97,1
21_motif_1,97,1
11_motif_1,97,1
23_motif_1,97,1
29_motif_1,97,1
47_motif_1,97,1
51_motif_1,95,1
4_motif_1,42,1
8_motif_1,56,1
28_motif_1,97,1
65_motif_1,92,1
40_motif_1,97,1
87_motif_1,94,1
48_motif_1,94,1
94_motif_1,90,1
35_motif_1,97,1
92_motif_1,96,1
78_motif_1,92,1
7_motif_1,97,1
72_motif_1,95,1
81_motif_1,94,1
41_motif_1,97,1
14_motif_1,85,1
90_motif_1,92,1
82_motif_1,94,1
44_motif_1,97,1
24_motif_1,97,1
101_motif_1,91,1
80_motif_1,94,1
95_motif_1,95,1
9_motif_1,97,1
42_motif_1,97,1
67_motif_1,93,1
58_motif_1,92,1
62_motif_1,92,1
34_motif_1,97,1
32_motif_1,97,1
16_motif_1,97,1
53_motif_1,88,1
36_motif_1,97,1
96_motif_2,40,2
56_motif_2,40,2
98_motif_2,38,2
52_motif_2,40,2
55_motif_2,40,2
76_motif_2,40,2
54_motif_2,40,2
74_motif_2,40,2
69_motif_2,40,2
99_motif_2,38,2
50_motif_2,40,2
77_motif_2,40,2
79_motif_2,40,2
71_motif_2,40,2
73_motif_2,40,2
83_motif_2,35,2
100_motif_2,38,2
68_motif_2,40,2
59_motif_2,40,2
66_motif_2,40,2
75_motif_2,40,2
