Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.2522242063492063,1_motif_1
1,motif_2,0.316312996031746,1_motif_2
1,motif_3,0.34317658730158734,1_motif_3
2,motif_1,0.25405932539682535,2_motif_1
2,motif_2,0.33087751322751324,2_motif_2
2,motif_3,0.5730753968253965,2_motif_3
3,motif_1,0.3953500330687831,3_motif_1
3,motif_2,0.3172456183862434,3_motif_2
3,motif_3,0.5739449735449733,3_motif_3
4,motif_1,0.38914093501984126,4_motif_1
4,motif_2,0.5727126984126982,4_motif_2
4,motif_3,0.3314723748473749,4_motif_3
5,motif_1,0.3964535714285714,5_motif_1
5,motif_2,0.5719733333333331,5_motif_2
5,motif_3,0.255004402281746,5_motif_3
6,motif_1,0.38962929894179893,6_motif_1
6,motif_2,0.6212633928571427,6_motif_2
6,motif_3,0.3284176114890401,6_motif_3
7,motif_1,0.381750177154195,7_motif_1
7,motif_2,0.5879451058201057,7_motif_2
7,motif_3,0.26787959482038426,7_motif_3
8,motif_1,0.3642156498015873,8_motif_1
8,motif_2,0.5173871136173769,8_motif_2
8,motif_3,0.3126159611992946,8_motif_3
9,motif_1,0.3637666446208113,9_motif_1
9,motif_2,0.5758104056437389,9_motif_2
9,motif_3,0.3183372507122508,9_motif_3
10,motif_1,0.36048211708926,10_motif_1
10,motif_2,0.5707432539682539,10_motif_2
10,motif_3,0.28645014245014255,10_motif_3
11,motif_1,0.3625588066551922,11_motif_1
11,motif_2,0.571340909090909,11_motif_2
11,motif_3,0.29299145962732914,11_motif_3
12,motif_1,0.33276217344576714,12_motif_1
12,motif_2,0.5744819775132273,12_motif_2
12,motif_3,0.3127654022060801,12_motif_3
13,motif_1,0.2988193790336648,13_motif_1
13,motif_2,0.35292642983119166,13_motif_2
13,motif_3,0.5637580240429505,13_motif_3
14,motif_1,0.34223716807595306,14_motif_1
14,motif_2,0.560075529100529,14_motif_2
14,motif_3,0.29803192239858894,14_motif_3
15,motif_1,0.36887664682539684,15_motif_1
15,motif_2,0.580185982726424,15_motif_2
15,motif_3,0.2908933215130023,15_motif_3
16,motif_1,0.3625588066551922,16_motif_1
16,motif_2,0.28645014245014255,16_motif_2
16,motif_3,0.5665653344671202,16_motif_3
17,motif_1,0.3625588066551922,17_motif_1
17,motif_2,0.28645014245014255,17_motif_2
17,motif_3,0.5891891975308642,17_motif_3
18,motif_1,0.3467695200302343,18_motif_1
18,motif_2,0.34973613986657465,18_motif_2
18,motif_3,0.5814485504850088,18_motif_3
19,motif_1,0.3474793002136752,19_motif_1
19,motif_2,0.5638598462301586,19_motif_2
19,motif_3,0.32060695567535186,19_motif_3
20,motif_1,0.3432799007936508,20_motif_1
20,motif_2,0.5739130434782608,20_motif_2
20,motif_3,0.3130724374495561,20_motif_3
21,motif_1,0.3450697782228156,21_motif_1
21,motif_2,0.5668842328042327,21_motif_2
21,motif_3,0.31297265355417525,21_motif_3
22,motif_1,0.3447014537902389,22_motif_1
22,motif_2,0.597063492063492,22_motif_2
22,motif_3,0.28808690476190474,22_motif_3
23,motif_1,0.38325341195668294,23_motif_1
23,motif_2,0.2908129391100702,23_motif_2
23,motif_3,0.34739566080055206,23_motif_3
24,motif_1,0.379798564753004,24_motif_1
24,motif_2,0.32504499487967226,24_motif_2
24,motif_3,0.5711837954591117,24_motif_3
25,motif_1,0.34088373386737875,25_motif_1
25,motif_2,0.3259577380952381,25_motif_2
25,motif_3,0.5779313599313598,25_motif_3
26,motif_1,0.34101312861593236,26_motif_1
26,motif_2,0.35398601510496674,26_motif_2
26,motif_3,0.5561309259259258,26_motif_3
27,motif_1,0.341269109535067,27_motif_1
27,motif_2,0.2784997993579454,27_motif_2
27,motif_3,0.45137264844209285,27_motif_3
28,motif_1,0.3672958296246848,28_motif_1
28,motif_2,0.25901930654058314,28_motif_2
28,motif_3,0.4313966553287982,28_motif_3
29,motif_1,0.3349725723622783,29_motif_1
29,motif_2,0.2586351035686142,29_motif_2
29,motif_3,0.3854395203336809,29_motif_3
30,motif_1,0.3326428244374673,30_motif_1
30,motif_2,0.283581675170068,30_motif_2
30,motif_3,0.5755445408693072,30_motif_3
31,motif_1,0.3361046987734488,31_motif_1
31,motif_2,0.27821865443425076,31_motif_2
31,motif_3,0.6027135487528344,31_motif_3
32,motif_1,0.3581342978147911,32_motif_1
32,motif_2,0.2780559163059163,32_motif_2
32,motif_3,0.6713515314980159,32_motif_3
33,motif_1,0.32178389804639806,33_motif_1
33,motif_2,0.281422669067627,33_motif_2
33,motif_3,0.6721615312791782,33_motif_3
34,motif_1,0.36966177777777787,34_motif_1
34,motif_2,0.6493638246965453,34_motif_2
34,motif_3,0.27618558057280873,34_motif_3
35,motif_1,0.37399705924036275,35_motif_1
35,motif_2,0.627285669698591,35_motif_2
35,motif_3,0.2804627869133265,35_motif_3
36,motif_1,0.3694438478188478,36_motif_1
36,motif_2,0.616461708629812,36_motif_2
36,motif_3,0.2807635882635882,36_motif_3
37,motif_1,0.36695499730965836,37_motif_1
37,motif_2,0.618554643313264,37_motif_2
37,motif_3,0.28119482985040534,37_motif_3
38,motif_1,0.39010817748441506,38_motif_1
38,motif_2,0.6257960784313725,38_motif_2
38,motif_3,0.38427841326328877,38_motif_3
39,motif_1,0.3658392793549044,39_motif_1
39,motif_2,0.6257960784313725,39_motif_2
39,motif_3,0.5502210046897548,39_motif_3
40,motif_1,0.3510330645971469,40_motif_1
40,motif_2,0.6452237554112554,40_motif_2
40,motif_3,0.381646839569161,40_motif_3
41,motif_1,0.38841949162795203,41_motif_1
41,motif_2,0.6469201751838947,41_motif_2
