Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.3497983630952381,1_motif_1
1,motif_2,0.28094404761904757,1_motif_2
1,motif_3,0.4643058390022677,1_motif_3
2,motif_1,0.4376370287698413,2_motif_1
2,motif_2,0.30042328042328037,2_motif_2
2,motif_3,0.2947324735449735,2_motif_3
3,motif_1,0.48925574352548035,3_motif_1
3,motif_2,0.34093998015873017,3_motif_2
3,motif_3,0.33769675925925924,3_motif_3
4,motif_1,0.312046556122449,4_motif_1
4,motif_2,0.29622881235827664,4_motif_2
4,motif_3,0.4410765182884748,4_motif_3
5,motif_1,0.34258115719406035,5_motif_1
5,motif_2,0.3242090773809524,5_motif_2
5,motif_3,0.33111272321428575,5_motif_3
6,motif_1,0.33737512664640323,6_motif_1
6,motif_2,0.30919929453262784,6_motif_2
6,motif_3,0.353340821812596,6_motif_3
7,motif_1,0.3433775352733687,7_motif_1
7,motif_2,0.31610740740740745,7_motif_2
7,motif_3,0.30919929453262784,7_motif_3
8,motif_1,0.3503872685185186,8_motif_1
8,motif_2,0.31279672619047616,8_motif_2
8,motif_3,0.3506549671592775,8_motif_3
9,motif_1,0.3495544457896153,9_motif_1
9,motif_2,0.2838433333333333,9_motif_2
9,motif_3,0.3733993055555555,9_motif_3
10,motif_1,0.35107996346686826,10_motif_1
10,motif_2,0.28355210170487943,10_motif_2
10,motif_3,0.3506549671592775,10_motif_3
11,motif_1,0.3454601829432339,11_motif_1
11,motif_2,0.28355210170487943,11_motif_2
11,motif_3,0.38093266769073225,11_motif_3
12,motif_1,0.3493217984934087,12_motif_1
12,motif_2,0.3044732142857143,12_motif_2
12,motif_3,0.353340821812596,12_motif_3
13,motif_1,0.3667813355227148,13_motif_1
13,motif_2,0.30495929118773946,13_motif_2
13,motif_3,0.38205918367346936,13_motif_3
14,motif_1,0.36984712133440945,14_motif_1
14,motif_2,0.315685413245758,14_motif_2
14,motif_3,0.36589547902494324,14_motif_3
15,motif_1,0.2792607266865079,15_motif_1
15,motif_2,0.4024252094356261,15_motif_2
15,motif_3,0.3048736359126984,15_motif_3
16,motif_1,0.41635836038961044,16_motif_1
16,motif_2,0.30955935374149657,16_motif_2
16,motif_3,0.32927690972222223,16_motif_3
17,motif_1,0.4595675901201602,17_motif_1
17,motif_2,0.2899363912231559,17_motif_2
17,motif_3,0.3235326445043426,17_motif_3
18,motif_1,0.4598668240284619,18_motif_1
18,motif_2,0.27824231150793644,18_motif_2
18,motif_3,0.31120943562610226,18_motif_3
19,motif_1,0.4498647936507937,19_motif_1
19,motif_2,0.28153219696969695,19_motif_2
19,motif_3,0.3082205988455989,19_motif_3
20,motif_1,0.46157695578231295,20_motif_1
20,motif_2,0.2809772560258671,20_motif_2
20,motif_3,0.6518911064425771,20_motif_3
21,motif_1,0.46422569065794256,21_motif_1
21,motif_2,0.2831017316017316,21_motif_2
21,motif_3,0.4020641684704184,21_motif_3
22,motif_1,0.4051668334000266,22_motif_1
22,motif_2,0.29987355699855694,22_motif_2
22,motif_3,0.6881403995310245,22_motif_3
23,motif_1,0.43804381477108756,23_motif_1
23,motif_2,0.28460084541062797,23_motif_2
23,motif_3,0.5679493670886074,23_motif_3
24,motif_1,0.39726651077097513,24_motif_1
24,motif_2,0.2828509424603174,24_motif_2
24,motif_3,0.5739697541618273,24_motif_3
25,motif_1,0.27702678571428574,25_motif_1
25,motif_2,0.631616432178932,25_motif_2
25,motif_3,0.47019118958444805,25_motif_3
26,motif_1,0.33811268472906403,26_motif_1
26,motif_2,0.6230373533471358,26_motif_2
26,motif_3,0.3031664862914862,26_motif_3
27,motif_1,0.3660635064412239,27_motif_1
27,motif_2,0.6095883116883115,27_motif_2
27,motif_3,0.27623036001840345,27_motif_3
28,motif_1,0.2795116310892172,28_motif_1
28,motif_2,0.6208591978458049,28_motif_2
28,motif_3,0.4424505649717515,28_motif_3
29,motif_1,0.3548012881078358,29_motif_1
29,motif_2,0.6184543960813491,29_motif_2
29,motif_3,0.2930257044765472,29_motif_3
30,motif_1,0.3510756886087768,30_motif_1
30,motif_2,0.6217163008432538,30_motif_2
30,motif_3,0.27935969387755105,30_motif_3
31,motif_1,0.6209438736681885,31_motif_1
31,motif_2,0.32590746652478503,31_motif_2
31,motif_3,0.25383341959972405,31_motif_3
32,motif_1,0.613300857843137,32_motif_1
32,motif_2,0.29927095431668593,32_motif_2
32,motif_3,0.6464666075650117,32_motif_3
33,motif_1,0.6137317402806531,33_motif_1
33,motif_2,0.29927095431668593,33_motif_2
33,motif_3,0.6487803741496597,33_motif_3
34,motif_1,0.27895917764268824,34_motif_1
34,motif_2,0.6140056972789113,34_motif_2
34,motif_3,0.4326678921568628,34_motif_3
35,motif_1,0.6118726100288598,35_motif_1
35,motif_2,0.2987525392101284,35_motif_2
35,motif_3,0.6454232086167799,35_motif_3
36,motif_1,0.6242419151461208,36_motif_1
36,motif_2,0.29877272217738315,36_motif_2
36,motif_3,0.6343847766257039,36_motif_3
37,motif_1,0.611114304610733,37_motif_1
37,motif_2,0.3262008775159548,37_motif_2
37,motif_3,0.28586179036179027,37_motif_3
38,motif_1,0.611114304610733,38_motif_1
38,motif_2,0.3260673989527082,38_motif_2
38,motif_3,0.28628580207894366,38_motif_3
39,motif_1,0.611114304610733,39_motif_1
39,motif_2,0.2976681998556998,39_motif_2
39,motif_3,0.6234313654033041,39_motif_3
40,motif_1,0.6098514525306977,40_motif_1
40,motif_2,0.3291227286967418,40_motif_2
40,motif_3,0.28500650932887767,40_motif_3
41,motif_1,0.6098514525306977,41_motif_1
41,motif_2,0.294614594606782,41_motif_2
41,motif_3,0.36705113851095994,41_motif_3
42,motif_1,0.6110924674674674,42_motif_1
42,motif_2,0.27752490465883317,42_motif_2
42,motif_3,0.3430304860386977,42_motif_3
43,motif_1,0.32683165445665435,43_motif_1
43,motif_2,0.6234472938298126,43_motif_2
43,motif_3,0.2745245049909998,43_motif_3
44,motif_1,0.3283902440850554,44_motif_1
44,motif_2,0.6254420457237622,44_motif_2
44,motif_3,0.2746901238688622,44_motif_3
45,motif_1,0.3181783101443595,45_motif_1
45,motif_2,0.611216697191697,45_motif_2
45,motif_3,0.27584368253968244,45_motif_3
46,motif_1,0.31733656135531135,46_motif_1
46,motif_2,0.6265451839826839,46_motif_2
46,motif_3,0.2769636342099029,46_motif_3
47,motif_1,0.31679456709956705,47_motif_1
47,motif_2,0.627185408299866,47_motif_2
47,motif_3,0.27545134446813546,47_motif_3
48,motif_1,0.31658079805996475,48_motif_1
48,motif_2,0.6262477227633476,48_motif_2
48,motif_3,0.28006187996031745,48_motif_3
49,motif_1,0.32621835784924796,49_motif_1
49,motif_2,0.6301268920798558,49_motif_2
49,motif_3,0.3118683014516348,49_motif_3
50,motif_1,0.30640994570905283,50_motif_1
50,motif_2,0.6303363926030181,50_motif_2
50,motif_3,0.279205149846008,50_motif_3
51,motif_1,0.2983085757801815,51_motif_1
51,motif_2,0.6306599702380951,51_motif_2
51,motif_3,0.2534064795072258,51_motif_3
52,motif_1,0.3053093860937691,52_motif_1
52,motif_2,0.6292541620524178,52_motif_2
52,motif_3,0.31458030202821874,52_motif_3
53,motif_1,0.297130365728022,53_motif_1
53,motif_2,0.6231854749631811,53_motif_2
53,motif_3,0.2562655381944444,53_motif_3
54,motif_1,0.2934668159312655,54_motif_1
54,motif_2,0.6308778128386562,54_motif_2
54,motif_3,0.25944026141384385,54_motif_3
55,motif_1,0.2936264895671424,55_motif_1
55,motif_2,0.6144521808723488,55_motif_2
55,motif_3,0.2768826215671454,55_motif_3
56,motif_1,0.2943601643990929,56_motif_1
56,motif_2,0.6312802736835474,56_motif_2
56,motif_3,0.27678474765974764,56_motif_3
57,motif_1,0.2938035381750465,57_motif_1
57,motif_2,0.618648151422285,57_motif_2
57,motif_3,0.2767786126826968,57_motif_3
58,motif_1,0.29380246375876456,58_motif_1
58,motif_2,0.6308281024531024,58_motif_2
58,motif_3,0.27786519062453635,58_motif_3
59,motif_1,0.29380246375876456,59_motif_1
59,motif_2,0.6308281024531024,59_motif_2
59,motif_3,0.27786519062453635,59_motif_3
60,motif_1,0.29380246375876456,60_motif_1
60,motif_2,0.6308281024531024,60_motif_2
60,motif_3,0.27786519062453635,60_motif_3
