Motif_ID,Match_Count,Rank
96_motif_1,64,2
20_motif_1,8,2
26_motif_1,4,2
93_motif_1,64,2
56_motif_1,65,2
98_motif_1,64,2
52_motif_1,66,2
55_motif_1,65,2
76_motif_1,52,2
25_motif_3,3,2
38_motif_2,65,2
54_motif_1,65,2
18_motif_1,8,2
74_motif_1,65,2
69_motif_1,64,2
99_motif_1,64,2
86_motif_1,65,2
50_motif_1,66,2
77_motif_1,59,2
37_motif_2,64,2
79_motif_1,63,2
71_motif_1,64,2
73_motif_1,64,2
57_motif_1,65,2
83_motif_1,63,2
17_motif_1,6,2
100_motif_1,64,2
68_motif_1,58,2
88_motif_1,65,2
59_motif_1,65,2
66_motif_1,65,2
91_motif_1,65,2
45_motif_1,59,2
46_motif_1,59,2
75_motif_1,65,2
30_motif_1,65,2
84_motif_1,63,2
70_motif_1,64,2
27_motif_1,63,2
19_motif_1,8,2
97_motif_1,64,2
63_motif_1,65,2
64_motif_1,65,2
49_motif_1,56,2
89_motif_1,65,2
22_motif_1,8,2
61_motif_1,65,2
85_motif_1,64,2
60_motif_1,65,2
43_motif_1,64,2
31_motif_2,50,2
21_motif_1,8,2
23_motif_1,7,2
29_motif_1,64,2
47_motif_1,59,2
51_motif_1,58,2
65_motif_1,65,2
40_motif_2,64,2
87_motif_1,65,2
48_motif_1,59,2
94_motif_1,64,2
92_motif_1,64,2
78_motif_1,59,2
72_motif_1,64,2
81_motif_1,63,2
90_motif_1,65,2
82_motif_1,65,2
44_motif_1,60,2
24_motif_1,7,2
101_motif_1,59,2
80_motif_1,63,2
95_motif_1,64,2
67_motif_1,64,2
58_motif_1,65,2
62_motif_1,65,2
16_motif_1,4,2
53_motif_1,58,2
96_motif_2,73,1
26_motif_2,35,1
93_motif_2,72,1
56_motif_2,74,1
98_motif_2,72,1
52_motif_2,73,1
55_motif_2,52,1
76_motif_2,73,1
25_motif_2,2,1
38_motif_1,69,1
54_motif_2,74,1
74_motif_2,69,1
69_motif_2,74,1
99_motif_2,72,1
86_motif_2,74,1
50_motif_2,73,1
77_motif_2,74,1
37_motif_1,69,1
79_motif_2,74,1
71_motif_2,74,1
73_motif_2,74,1
33_motif_1,68,1
57_motif_2,69,1
83_motif_2,72,1
100_motif_2,72,1
68_motif_2,74,1
88_motif_2,74,1
59_motif_2,74,1
66_motif_2,74,1
91_motif_2,73,1
45_motif_2,71,1
39_motif_1,69,1
46_motif_2,75,1
75_motif_2,74,1
30_motif_2,69,1
84_motif_2,72,1
70_motif_2,74,1
27_motif_2,51,1
97_motif_2,72,1
63_motif_2,74,1
64_motif_2,74,1
49_motif_2,73,1
89_motif_2,74,1
61_motif_2,74,1
85_motif_2,74,1
60_motif_2,74,1
43_motif_2,69,1
31_motif_1,69,1
29_motif_2,45,1
47_motif_2,69,1
51_motif_2,73,1
28_motif_2,68,1
65_motif_2,74,1
40_motif_1,69,1
87_motif_2,75,1
48_motif_2,69,1
94_motif_2,72,1
35_motif_1,69,1
92_motif_2,72,1
78_motif_2,74,1
72_motif_2,74,1
81_motif_2,72,1
41_motif_1,69,1
90_motif_2,74,1
82_motif_2,73,1
44_motif_2,69,1
101_motif_2,55,1
80_motif_2,72,1
95_motif_2,73,1
42_motif_1,69,1
67_motif_2,74,1
58_motif_2,74,1
62_motif_2,74,1
34_motif_2,69,1
32_motif_1,68,1
53_motif_2,73,1
36_motif_1,67,1
96_motif_3,24,3
93_motif_3,24,3
56_motif_3,60,3
98_motif_3,24,3
52_motif_3,56,3
55_motif_3,60,3
38_motif_3,55,3
54_motif_3,60,3
74_motif_3,39,3
69_motif_3,60,3
99_motif_3,24,3
86_motif_3,28,3
50_motif_3,56,3
77_motif_3,12,3
37_motif_3,55,3
79_motif_3,60,3
71_motif_3,60,3
73_motif_3,60,3
57_motif_3,60,3
83_motif_3,51,3
100_motif_3,24,3
68_motif_3,56,3
88_motif_3,60,3
59_motif_3,60,3
66_motif_3,60,3
91_motif_3,26,3
45_motif_3,60,3
46_motif_3,60,3
75_motif_3,39,3
30_motif_3,43,3
84_motif_3,51,3
70_motif_3,60,3
27_motif_3,38,3
97_motif_3,59,3
63_motif_3,60,3
64_motif_3,60,3
49_motif_3,46,3
89_motif_3,24,3
61_motif_3,60,3
85_motif_3,51,3
60_motif_3,60,3
43_motif_3,57,3
31_motif_3,11,3
29_motif_3,45,3
47_motif_3,61,3
51_motif_3,2,3
65_motif_3,60,3
40_motif_3,57,3
87_motif_3,50,3
48_motif_3,60,3
94_motif_3,50,3
92_motif_3,24,3
78_motif_3,60,3
72_motif_3,60,3
81_motif_3,60,3
90_motif_3,24,3
82_motif_3,51,3
44_motif_3,59,3
101_motif_3,24,3
80_motif_3,28,3
95_motif_3,24,3
67_motif_3,59,3
58_motif_3,60,3
62_motif_3,60,3
53_motif_3,2,3
20_motif_2,8,6
6_motif_2,3,6
12_motif_2,3,6
18_motif_2,7,6
19_motif_2,8,6
13_motif_2,3,6
22_motif_2,3,6
10_motif_2,9,6
21_motif_2,9,6
11_motif_2,9,6
23_motif_2,9,6
8_motif_2,0,6
7_motif_3,3,6
24_motif_2,5,6
9_motif_2,8,6
20_motif_3,0,22
26_motif_3,0,19
6_motif_1,10,4
5_motif_2,10,4
12_motif_1,10,4
15_motif_2,10,4
13_motif_1,10,4
10_motif_1,10,4
11_motif_1,10,4
8_motif_1,10,4
7_motif_1,10,4
14_motif_1,10,4
9_motif_1,10,4
6_motif_3,5,7
12_motif_3,5,7
13_motif_3,5,7
2_motif_1,1,7
11_motif_3,5,7
14_motif_3,5,7
9_motif_3,6,7
5_motif_1,4,9
10_motif_3,4,9
4_motif_1,4,9
8_motif_3,4,9
7_motif_2,4,9
5_motif_3,0,16
76_motif_3,2,8
33_motif_3,4,8
39_motif_3,5,8
35_motif_3,4,8
32_motif_3,4,8
36_motif_3,4,8
25_motif_1,9,5
33_motif_2,9,5
39_motif_2,9,5
28_motif_1,9,5
35_motif_2,9,5
41_motif_2,9,5
42_motif_2,9,5
34_motif_1,9,5
32_motif_2,9,5
36_motif_2,9,5
15_motif_1,0,29
15_motif_3,2,10
18_motif_3,3,10
17_motif_3,3,10
19_motif_3,3,10
17_motif_2,0,26
22_motif_3,0,20
2_motif_2,1,13
3_motif_3,1,13
2_motif_3,1,11
4_motif_2,1,11
3_motif_2,2,11
21_motif_3,0,21
23_motif_3,1,15
24_motif_3,1,15
4_motif_3,0,17
1_motif_1,0,25
1_motif_2,0,24
1_motif_3,0,23
28_motif_3,1,14
34_motif_3,1,14
3_motif_1,0,18
41_motif_3,1,12
42_motif_3,1,12
14_motif_2,0,30
16_motif_2,0,28
16_motif_3,0,27
