Number,Layer,Average_Probability,Number_Layer
1,motif_1,0.289921875,1_motif_1
1,motif_2,0.30334807256235824,1_motif_2
1,motif_3,0.30613690476190475,1_motif_3
2,motif_1,0.3163680555555555,2_motif_1
2,motif_2,0.5693216490299825,2_motif_2
2,motif_3,0.2869751984126984,2_motif_3
3,motif_1,0.35352769151138724,3_motif_1
3,motif_2,0.5729446532999165,3_motif_2
3,motif_3,0.29653910383597887,3_motif_3
4,motif_1,0.3534012896825397,4_motif_1
4,motif_2,0.5663509344598053,4_motif_2
4,motif_3,0.3999276695526696,4_motif_3
5,motif_1,0.3454118551587302,5_motif_1
5,motif_2,0.5732406746031747,5_motif_2
5,motif_3,0.31968182743182744,5_motif_3
6,motif_1,0.3472808172914556,6_motif_1
6,motif_2,0.2910551402731636,6_motif_2
6,motif_3,0.5789274891774893,6_motif_3
7,motif_1,0.347794227994228,7_motif_1
7,motif_2,0.28299316578483247,7_motif_2
7,motif_3,0.41215196377696384,7_motif_3
8,motif_1,0.3439738599143361,8_motif_1
8,motif_2,0.2851466861598441,8_motif_2
8,motif_3,0.5869574348607367,8_motif_3
9,motif_1,0.34474418734629997,9_motif_1
9,motif_2,0.2974291726791727,9_motif_2
9,motif_3,0.5899933320322663,9_motif_3
10,motif_1,0.34611276025561744,10_motif_1
10,motif_2,0.29801082516339866,10_motif_2
10,motif_3,0.4217273995535714,10_motif_3
11,motif_1,0.3428002645502645,11_motif_1
11,motif_2,0.31324703669346526,11_motif_2
11,motif_3,0.53688747848537,11_motif_3
12,motif_1,0.34118506683375105,12_motif_1
12,motif_2,0.28383073870573877,12_motif_2
12,motif_3,0.39904999999999996,12_motif_3
13,motif_1,0.33656620819848965,13_motif_1
13,motif_2,0.35804261057173675,13_motif_2
13,motif_3,0.42335983021900747,13_motif_3
14,motif_1,0.3141290404040403,14_motif_1
14,motif_2,0.34827007157029477,14_motif_2
14,motif_3,0.40560465699689846,14_motif_3
15,motif_1,0.3153354497354497,15_motif_1
15,motif_2,0.2992337301587302,15_motif_2
15,motif_3,0.4064523382829835,15_motif_3
16,motif_1,0.3004880642361112,16_motif_1
16,motif_2,0.34696998767144405,16_motif_2
16,motif_3,0.4071269047619047,16_motif_3
17,motif_1,0.3021898442092887,17_motif_1
17,motif_2,0.31671171802054154,17_motif_2
17,motif_3,0.418700318710161,17_motif_3
18,motif_1,0.30121848984348987,18_motif_1
18,motif_2,0.3487275628306878,18_motif_2
18,motif_3,0.6022839138741917,18_motif_3
19,motif_1,0.30279171888053474,19_motif_1
19,motif_2,0.3488742228835978,19_motif_2
19,motif_3,0.5206128326330531,19_motif_3
20,motif_1,0.2993991838873915,20_motif_1
20,motif_2,0.3514943121693122,20_motif_2
20,motif_3,0.6022689493228482,20_motif_3
21,motif_1,0.35576491638321994,21_motif_1
21,motif_2,0.3211080021247344,21_motif_2
21,motif_3,0.3216438271604938,21_motif_3
22,motif_1,0.3613548881673881,22_motif_1
