Motif_ID,Match_Count,Rank
96_motif_1,29,1
20_motif_1,71,1
26_motif_1,70,1
93_motif_1,61,1
56_motif_1,70,1
98_motif_2,76,1
6_motif_2,57,1
6_motif_3,67,1
5_motif_2,56,1
52_motif_1,75,1
12_motif_1,69,1
55_motif_1,75,1
76_motif_3,81,1
25_motif_1,71,1
15_motif_1,75,1
38_motif_1,70,1
54_motif_1,75,1
18_motif_1,71,1
74_motif_3,82,1
69_motif_1,9,1
99_motif_2,67,1
86_motif_3,76,1
50_motif_1,9,1
77_motif_3,82,1
37_motif_1,9,1
79_motif_3,78,1
71_motif_3,79,1
73_motif_3,81,1
33_motif_1,71,1
57_motif_1,75,1
83_motif_2,84,1
17_motif_1,75,1
100_motif_2,14,1
68_motif_1,9,1
88_motif_3,9,1
59_motif_1,75,1
66_motif_1,9,1
91_motif_1,66,1
45_motif_1,75,1
39_motif_1,70,1
46_motif_1,75,1
75_motif_3,83,1
30_motif_1,75,1
84_motif_2,83,1
70_motif_1,8,1
27_motif_1,70,1
19_motif_1,70,1
97_motif_2,75,1
63_motif_1,78,1
64_motif_1,78,1
49_motif_1,9,1
89_motif_1,66,1
13_motif_1,72,1
22_motif_1,75,1
61_motif_1,75,1
85_motif_2,82,1
60_motif_1,75,1
10_motif_1,61,1
43_motif_1,75,1
2_motif_2,56,1
31_motif_1,71,1
21_motif_1,75,1
11_motif_1,68,1
23_motif_1,71,1
29_motif_1,75,1
47_motif_1,70,1
51_motif_1,9,1
4_motif_2,57,1
8_motif_2,56,1
1_motif_2,57,1
28_motif_1,75,1
65_motif_1,9,1
3_motif_2,59,1
40_motif_1,70,1
87_motif_3,76,1
48_motif_1,72,1
94_motif_1,66,1
35_motif_1,69,1
92_motif_1,62,1
78_motif_3,83,1
7_motif_2,57,1
72_motif_3,81,1
81_motif_2,85,1
41_motif_1,75,1
14_motif_1,69,1
90_motif_1,66,1
82_motif_3,84,1
44_motif_1,70,1
24_motif_1,75,1
101_motif_2,58,1
80_motif_2,87,1
95_motif_1,29,1
9_motif_1,56,1
42_motif_1,77,1
67_motif_1,9,1
58_motif_1,75,1
62_motif_1,75,1
34_motif_1,70,1
32_motif_1,71,1
16_motif_1,76,1
53_motif_1,72,1
36_motif_1,60,1
96_motif_2,4,4
93_motif_2,11,4
98_motif_1,11,4
76_motif_1,18,4
74_motif_1,18,4
99_motif_1,11,4
86_motif_1,11,4
77_motif_1,19,4
79_motif_1,7,4
71_motif_1,18,4
73_motif_1,18,4
83_motif_1,19,4
100_motif_1,11,4
88_motif_1,11,4
91_motif_2,11,4
75_motif_1,19,4
84_motif_1,20,4
97_motif_1,11,4
63_motif_3,17,4
64_motif_3,17,4
89_motif_2,11,4
61_motif_3,17,4
85_motif_1,21,4
