Motif_ID,Match_Count,Rank
96_motif_1,7,5
93_motif_1,10,5
98_motif_1,7,5
99_motif_1,7,5
86_motif_2,10,5
83_motif_3,13,5
100_motif_1,6,5
88_motif_2,12,5
91_motif_1,12,5
84_motif_2,12,5
97_motif_1,7,5
85_motif_2,11,5
87_motif_2,11,5
94_motif_1,10,5
92_motif_1,12,5
81_motif_3,1,5
90_motif_3,13,5
82_motif_3,6,5
101_motif_1,1,5
95_motif_1,12,5
96_motif_2,1,9
99_motif_3,4,9
100_motif_3,5,9
91_motif_2,1,9
94_motif_2,1,9
90_motif_1,2,9
101_motif_3,1,9
95_motif_2,4,9
96_motif_3,16,1
20_motif_3,9,1
93_motif_3,3,1
56_motif_1,48,1
98_motif_2,21,1
52_motif_1,49,1
55_motif_1,48,1
76_motif_1,55,1
38_motif_3,9,1
54_motif_1,49,1
74_motif_1,48,1
69_motif_1,48,1
99_motif_2,21,1
86_motif_3,52,1
50_motif_1,48,1
77_motif_1,55,1
37_motif_3,14,1
79_motif_1,55,1
71_motif_1,48,1
73_motif_1,49,1
33_motif_1,13,1
57_motif_1,48,1
83_motif_1,46,1
100_motif_2,10,1
68_motif_1,48,1
88_motif_3,52,1
59_motif_1,47,1
66_motif_1,48,1
91_motif_3,40,1
45_motif_1,49,1
39_motif_3,14,1
46_motif_1,48,1
75_motif_1,49,1
84_motif_3,50,1
70_motif_1,48,1
27_motif_1,16,1
19_motif_3,8,1
97_motif_2,21,1
63_motif_1,48,1
64_motif_1,48,1
49_motif_1,48,1
89_motif_3,51,1
22_motif_3,2,1
61_motif_1,48,1
85_motif_3,50,1
60_motif_1,48,1
43_motif_1,46,1
47_motif_1,49,1
51_motif_1,48,1
65_motif_1,48,1
40_motif_3,14,1
87_motif_3,51,1
48_motif_1,50,1
94_motif_3,10,1
35_motif_3,4,1
92_motif_3,22,1
78_motif_1,55,1
72_motif_1,48,1
81_motif_1,48,1
41_motif_3,15,1
90_motif_2,46,1
82_motif_1,55,1
44_motif_1,47,1
24_motif_1,19,1
101_motif_2,21,1
80_motif_1,55,1
95_motif_3,17,1
42_motif_3,10,1
67_motif_1,48,1
58_motif_1,48,1
62_motif_1,48,1
34_motif_3,4,1
53_motif_1,47,1
20_motif_1,37,3
26_motif_2,36,3
56_motif_3,7,3
6_motif_3,35,3
52_motif_3,9,3
25_motif_2,36,3
38_motif_2,36,3
74_motif_3,7,3
50_motif_3,35,3
37_motif_2,36,3
73_motif_3,7,3
33_motif_2,36,3
45_motif_2,36,3
39_motif_2,36,3
46_motif_2,39,3
30_motif_2,36,3
27_motif_2,36,3
19_motif_2,37,3
64_motif_3,6,3
49_motif_3,35,3
13_motif_1,36,3
22_motif_2,37,3
61_motif_3,9,3
60_motif_3,9,3
10_motif_1,35,3
43_motif_2,36,3
31_motif_2,36,3
21_motif_2,37,3
23_motif_1,36,3
29_motif_2,36,3
47_motif_2,35,3
8_motif_1,36,3
28_motif_2,36,3
65_motif_3,7,3
40_motif_2,36,3
48_motif_3,35,3
35_motif_2,36,3
72_motif_3,7,3
41_motif_2,36,3
14_motif_1,4,3
44_motif_2,36,3
24_motif_2,36,3
9_motif_1,35,3
42_motif_2,36,3
62_motif_3,9,3
34_motif_2,36,3
32_motif_2,36,3
16_motif_2,38,3
36_motif_2,36,3
20_motif_2,24,4
26_motif_1,24,4
25_motif_1,24,4
15_motif_1,24,4
38_motif_1,24,4
18_motif_1,24,4
37_motif_1,24,4
17_motif_1,24,4
39_motif_1,24,4
30_motif_1,24,4
19_motif_1,24,4
22_motif_1,24,4
31_motif_1,24,4
21_motif_1,24,4
23_motif_2,24,4
29_motif_1,24,4
28_motif_1,24,4
40_motif_1,24,4
35_motif_1,24,4
41_motif_1,24,4
42_motif_1,24,4
34_motif_1,24,4
32_motif_1,24,4
16_motif_1,24,4
36_motif_1,24,4
26_motif_3,10,6
18_motif_3,10,6
33_motif_3,14,6
45_motif_3,6,6
30_motif_3,10,6
27_motif_3,14,6
43_motif_3,6,6
31_motif_3,10,6
29_motif_3,10,6
47_motif_3,6,6
28_motif_3,10,6
44_motif_3,6,6
24_motif_3,14,6
32_motif_3,10,6
36_motif_3,10,6
93_motif_2,1,12
92_motif_2,1,12
56_motif_2,38,2
98_motif_3,39,2
52_motif_2,37,2
55_motif_2,38,2
76_motif_2,38,2
54_motif_2,38,2
74_motif_2,39,2
69_motif_2,39,2
86_motif_1,35,2
50_motif_2,38,2
77_motif_2,38,2
79_motif_2,37,2
71_motif_2,39,2
73_motif_2,39,2
57_motif_2,39,2
83_motif_2,10,2
68_motif_2,39,2
88_motif_1,35,2
59_motif_2,39,2
66_motif_2,39,2
75_motif_2,38,2
84_motif_1,35,2
70_motif_2,39,2
97_motif_3,39,2
63_motif_2,38,2
64_motif_2,39,2
49_motif_2,31,2
89_motif_1,35,2
61_motif_2,38,2
85_motif_1,35,2
60_motif_2,39,2
65_motif_2,39,2
87_motif_1,35,2
48_motif_2,30,2
78_motif_2,39,2
72_motif_2,39,2
81_motif_2,4,2
82_motif_2,29,2
80_motif_2,4,2
67_motif_2,39,2
58_motif_2,39,2
62_motif_2,38,2
53_motif_2,37,2
6_motif_1,6,7
5_motif_1,6,7
25_motif_3,3,7
10_motif_2,5,7
8_motif_3,5,7
3_motif_2,5,7
7_motif_1,6,7
6_motif_2,3,10
2_motif_1,3,10
1_motif_1,3,10
3_motif_1,3,10
5_motif_2,1,16
4_motif_3,1,16
5_motif_3,0,28
12_motif_1,0,45
12_motif_2,0,44
12_motif_3,0,43
55_motif_3,3,8
69_motif_3,5,8
71_motif_3,2,8
57_motif_3,3,8
68_motif_3,7,8
59_motif_3,4,8
66_motif_3,3,8
70_motif_3,2,8
67_motif_3,3,8
58_motif_3,3,8
76_motif_3,1,15
79_motif_3,1,15
15_motif_2,0,40
15_motif_3,0,39
54_motif_3,0,29
18_motif_2,1,18
17_motif_2,1,18
77_motif_3,1,14
78_motif_3,1,14
17_motif_3,1,19
14_motif_2,1,19
46_motif_3,0,32
75_motif_3,0,26
63_motif_3,0,27
89_motif_2,0,22
13_motif_2,0,42
13_motif_3,1,20
11_motif_3,1,20
10_motif_3,0,47
2_motif_2,2,11
4_motif_1,2,11
1_motif_2,2,11
2_motif_3,0,34
21_motif_3,0,36
11_motif_1,0,46
11_motif_2,1,21
9_motif_3,1,21
23_motif_3,0,35
51_motif_2,0,30
51_motif_3,1,17
53_motif_3,1,17
4_motif_2,0,31
8_motif_2,1,13
9_motif_2,1,13
1_motif_3,0,37
3_motif_3,0,33
7_motif_2,0,25
7_motif_3,0,24
14_motif_3,0,41
80_motif_3,0,23
16_motif_3,0,38
